"","project_number","Baseline Year","Operation Name","Country Name","Objective","outcomes","outcomes_indicators","outcomes_units","Baseline","outcomes_means","Indicator Observation","Long.op.name"
"143","BR-L1415",2015,"Strengthening Unified Health System in São Bernardo do Campo","Brazil","The program aims to reorganize the health networks in São Bernardo do Campo, in particular the hospital services, urgency and emergency services and maternity health services.","Indicadores de resultado final","Proporção de partos SUS de residentes realizados na rede SUS Municipal","partos",83.4,"DATASUS, SINASC (Sistema de Informação de Nascidos Vivos)","Número de partos SUS de residentes em SBC realizados na rede SUS Municipal/ total de partos SUS de residentes em SBC","BR-L1415 - Strengthening Unified Health System in São Bernardo do Campo"
"144","BR-L1415",2015,"Strengthening Unified Health System in São Bernardo do Campo","Brazil","The program aims to reorganize the health networks in São Bernardo do Campo, in particular the hospital services, urgency and emergency services and maternity health services.","Indicadores de Resultados Intermediários","Pessoas que recebem serviços de saúde na rede SUS municipal","# of beneficiaries",359684,"TABNET ANS/IBGE","População total do município – beneficiários de planos de saúde (assistência médica)","BR-L1415 - Strengthening Unified Health System in São Bernardo do Campo"
"146","BR-L1415",2015,"Strengthening Unified Health System in São Bernardo do Campo","Brazil","The program aims to reorganize the health networks in São Bernardo do Campo, in particular the hospital services, urgency and emergency services and maternity health services.","Indicadores de resultado final","Taxa anual de internação hospitalar por diabetes mellitus e suas complicações na população de 30 a 59 anos de idade, residente em SBC.","número de internações",1.36,"DATASUS, SIH-SUS, IBGE","Número de hospitalizações por diabetes mellitus e suas complicações na população residente em SBC, na faixa etaria de 30 a 59 anos/ população residente em SBC na faixa etaria de 30-59 anos x 10.000 habitantes","BR-L1415 - Strengthening Unified Health System in São Bernardo do Campo"
"147","BR-L1415",2015,"Strengthening Unified Health System in São Bernardo do Campo","Brazil","The program aims to reorganize the health networks in São Bernardo do Campo, in particular the hospital services, urgency and emergency services and maternity health services.","Indicadores de resultado final","Taxa anual de internação hospitalar por acidente vascular cerebral na População de 30 a 59 anos de idade, residente em SBC.","número de internações",5.2,"DATASUS, SIH-SUS, IBGE","Número de hospitalizações por acidente cerebrovascular na população residente em SBC na faixa etaria de 30 a 59 anos/ população residente na SBC na faixa etaria de 30-59 anos x 10.000 habitantes","BR-L1415 - Strengthening Unified Health System in São Bernardo do Campo"
"148","BR-L1415",2015,"Strengthening Unified Health System in São Bernardo do Campo","Brazil","The program aims to reorganize the health networks in São Bernardo do Campo, in particular the hospital services, urgency and emergency services and maternity health services.","Indicadores de Resultados Intermediários","Proporção de parto normal em primíparas na rede SUS municipal","partos",62.54,"SINASC (Sistema de Informação de Nascidos Vivos)","número de partos normais em primíparas realizados na rede SUS Municipal / total de partos de primíparas realizados na rede SUS Municipal","BR-L1415 - Strengthening Unified Health System in São Bernardo do Campo"
"149","BR-L1415",2015,"Strengthening Unified Health System in São Bernardo do Campo","Brazil","The program aims to reorganize the health networks in São Bernardo do Campo, in particular the hospital services, urgency and emergency services and maternity health services.","Indicadores de Resultados Intermediários","Proporção de parto normal na rede SUS municipal","partos",61.21,"SINASC (Sistema de Informação de Nascidos Vivos)","número de partos normais realizados na rede SUS Municipal / total de partos realizados na rede SUS Municipal","BR-L1415 - Strengthening Unified Health System in São Bernardo do Campo"
"167","BR-L1518",2019,"Program to Strengthen the Care Model in the Paraiba Health Network","Brazil","The general objective of the program is to contribute to improve the health conditions for the Paraiba population through the consolidation of the Health Care Networks and the strengthening of the State health management capacities.","Contribuir para a melhoria das condições de saúde da população da Paraíba através da consolidação das Redes de Atenção à Saúde (RAS) e do fortalecimento das capacidades de gestão estadual da saúde.","Número de pessoas que recebem serviços de saúde","# of beneficiaries",3626000,"Fonte do indicador: DATASUS + IBGE. Número de pessoas SUS dependentes nas macroregiões de João Pessoa, Campina Grande e Patos.O aumento de cobertura será alcançada pela ampliação das linhas de cuidado e serviços de alta complexidade à toda população SUS dependente do Estado da Paraíba.","População Paraibana estimada no ano de 2019 em 4.018.127 habitantes.","BR-L1518 - Program to Strengthen the Care Model in the Paraiba Health Network"
"169","BR-L1518",2019,"Program to Strengthen the Care Model in the Paraiba Health Network","Brazil","The general objective of the program is to contribute to improve the health conditions for the Paraiba population through the consolidation of the Health Care Networks and the strengthening of the State health management capacities.","Contribuir para a melhoria das condições de saúde da população da Paraíba através da consolidação das Redes de Atenção à Saúde (RAS) e do fortalecimento das capacidades de gestão estadual da saúde.","Gestantes Diagnosticadas com sífilis, com tratamento correto prescrito","%",86.7,"Fonte do indicador: SINAN. Número de gestantes diagnosticadas com sífilis que receberam a prescrição correta em um determinado ano / Número de gestantes diagnosticadas com sifílis em um determinado ano * 100","Em 2019, das 913 gestantes diagnosticadas com sífilis, 792 receberam a prescrição correta - 86,70%.","BR-L1518 - Program to Strengthen the Care Model in the Paraiba Health Network"
"171","BR-L1519",2018,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","Brazil","The program objective is to contribute to the health of the population by increasing access to health services, as well as their quality and efficiency, in the Município of Belo Horizonte","Melhoria da qualidade e eficiencia dos serviços de saúde","Proporção de consultas registradas na solução tecnológica (SIGRAH) em relação ao total de consultas.","/100 consultas",0,"SIGRAH (numerador) e SISREDE, SIA, e-SUS e registros manuais (denominador)","Numerador: Número de consultas registradas no sistema SIGRAH, em determinado período, em todas as unidades assistenciais de saúde com o SIGRAH implantado Denominador: Número total de consultas realizadas* nas unidades assistenciais em determinado período (x 100) (*) Entende-se por consulta todo atendimento individual realizado por profissional de nível superior, inclusive a escuta inicial e classificação de risco.","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"172","BR-L1519",2018,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","Brazil","The program objective is to contribute to the health of the population by increasing access to health services, as well as their quality and efficiency, in the Município of Belo Horizonte","Melhoria da qualidade e eficiencia dos serviços de saúde","Tempo médio para distribuição de vacinas para as unidades de saúde.","dias",15,"SIES (Relatório Semestral de Progresso)","Numerador: Número de dias entre a data do recebimento de vacinas da SES/MG e a data de entrega para o último Centro de Saúde da programação mensal Denominador: 12","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"173","BR-L1519",2018,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","Brazil","The program objective is to contribute to the health of the population by increasing access to health services, as well as their quality and efficiency, in the Município of Belo Horizonte","Melhoria da qualidade e eficiencia dos serviços de saúde","Taxa de solicitações por internação realizada com diagnóstico de trombose venosa profunda.","Solicitações / internação",2.3,"CINT/SIH (Relatório Semestral de Progresso)","Numerador: Número de solicitações por TVP Denominador: Internações com diagnóstico de TVP","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"174","BR-L1519",2018,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","Brazil","The program objective is to contribute to the health of the population by increasing access to health services, as well as their quality and efficiency, in the Município of Belo Horizonte","Melhoria da qualidade e eficiencia dos serviços de saúde","Proporção de recém-nascidos (RN) com 37 semanas ou mais de gestação com apgar de 5º minuto ≤ 7 na maternidade do Hospital Municipal Odilon Behrens .","/ 100 recém-nascidos",1.82,"Comissão Perinatal, SINASC (Relatório Semestral de Progresso)","Numerador: Número de RN com 37 semanas ou mais de gestação com apgar de 5o minuto ≤ 7 no HOB Denominador: Total de RN no HOB (x 100)","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"175","BR-L1519",2018,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","Brazil","The program objective is to contribute to the health of the population by increasing access to health services, as well as their quality and efficiency, in the Município of Belo Horizonte","Melhoria da qualidade e eficiencia dos serviços de saúde","Tempo médio de espera para realização de endoscopia.","Meses",7,"SISREG (Relatório Semestral de Progresso)","Numerador: Número de demandas por endoscopia Denominador: Número de endoscopias ofertadas.","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"176","BR-L1519",2018,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","Brazil","The program objective is to contribute to the health of the population by increasing access to health services, as well as their quality and efficiency, in the Município of Belo Horizonte","Melhoria da qualidade e eficiencia dos serviços de saúde","Taxa de infecção da corrente sanguínea associada a cateter venoso central nas UTIs dos hospitais participantes do Programa de Desenvolvimento Hospitalar (mediana).","Infecções / 1000 cateter venoso central – dia",7,"SISVISE (Relatório Semestral de Progresso)","Numerador: Quantidade de infecções da corrente sanguínea (CIDs A418 e A419) Denominador: Quantidade de cateter venoso central/dia (x 1000)","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"177","BR-L1519",2018,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","Brazil","The program objective is to contribute to the health of the population by increasing access to health services, as well as their quality and efficiency, in the Município of Belo Horizonte","Melhoria da qualidade e eficiencia dos serviços de saúde","Percentual de hospitais que cumprem com desempenho minimo de 70% no Programa de Desenvolvimento Hospitalar.","%",0,"Relatório final da auditoria","Formula de cálculo: Numerador: Hospitais que atingiram 70% de pontuação no Programa de Desenvolvimento Hospitalar Denominador: número de hospitais que participam do Programa (x 100)","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"178","BR-L1519",2018,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","Brazil","The program objective is to contribute to the health of the population by increasing access to health services, as well as their quality and efficiency, in the Município of Belo Horizonte","Melhoria da qualidade e eficiencia dos serviços de saúde","Razão de exames citopatológicos do Colo do Útero em mulheres de 25 a 64 anos.","Exames / 3 mulheres",0.36,"SIA-SUS/ IBGE (Relatório Semestral de Progresso)","Numerador: Soma da frequência do número de exames citopatológicos do colo do útero (procedimentos 02.03.01.001-9 Exame citopatológico cervico-vaginal/microflora e 02.03.01.008-6 Exame citopatológico cervico-vaginal/microflora-rastreamento) realizados em mulheres na faixa etária de 25 a 64 anos Denominador: População feminina na faixa etária de 25 a 64 anos / 3","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"179","BR-L1519",2018,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","Brazil","The program objective is to contribute to the health of the population by increasing access to health services, as well as their quality and efficiency, in the Município of Belo Horizonte","Melhoria da qualidade e eficiencia dos serviços de saúde","Taxa de partos normais da maternidade do Hospital Municipal Odilon Behrens.","/ 100 partos",61,"Comissão Perinatal, SINASC (Relatório Semestral de Progresso)","Numerador: Número de partos normais ocorridos na maternidade do HOB Denominador: Total de partos ocorridos na maternidade do HOB (x 100)","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"180","BR-L1519",2019,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","Brazil","The program objective is to contribute to the health of the population by increasing access to health services, as well as their quality and efficiency, in the Município of Belo Horizonte","Ampliação do acesso aos serviços de saúde","Número de pessoas que recebem serviços de saúde.","# of beneficiaries",1280000,"MS/SAPS/SISAB","Fórmula de cálculo: Número de munícipes cadastrados que recebem serviços de saúde da atenção básica em Belo Horizonte.","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH"
"181","BR-L1583",2020,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 1: Ampliar el acceso y la calidad de los servicios de salud del Estado de Sergipe.","Mujeres (25-64 años) con examen cito-patológico realizado anualmente","%",15,"Sistema de Informaçión Ambulatoria de SUS (SIA) - DATASUS y IBGE","De acuerdo con el Plan Plurianual 2020-2023. (Número de exámenes cito-patológicos en mujeres de 25 a 64 años / mujeres de 25 a 64 años residentes en el ESE) x 100.","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"182","BR-L1583",2020,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 1: Ampliar el acceso y la calidad de los servicios de salud del Estado de Sergipe.","Tiempo promedio de espera para acceder a tratamiento de oncología desde la confirmación diagnóstica","# días",120,"Central de Regulación (SES/SE)","La meta se basa en la Ley Federal N.º 12.732 de 2012, que establece el número máximo de días entre el diagnóstico de la neoplasia maligna y el inicio del tratamiento","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"183","BR-L1583",2020,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 1: Ampliar el acceso y la calidad de los servicios de salud del Estado de Sergipe.","Mujeres (50-69 años) con mamografía de rastreo realizado","%",6.5,"Sistema de Informaçión Ambulatoria SUS (SIA) - DATASUS y IBGE","Según parámetros del Instituto Nacional de Cáncer, la meta es de 50% de la población-objetivo. (Número de mamografías en mujeres de 50 a 69 años / Número de mujeres de 50 a 69 años residentes en el ESE) x 100.","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"184","BR-L1583",2021,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 1: Ampliar el acceso y la calidad de los servicios de salud del Estado de Sergipe.","Proporción de parto normal em la rede SUS del estado","%",56.33,"DATASUS - SINASC – Sistema de Información sobre Nacidos Vivos","Número nacidos vivos por parto normal de madre residentes X 100) / (Número total de nacidos vivos de madres residentes). Según las metas acordadas con el Ministerio de Salud, el parámetro nacional es de 70% de partos normales (Fonte: Sispacto, caderno de diretrizes 2017-2021).","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"185","BR-L1583",2021,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 2: Modernizar los procesos de gestión y asistenciales, a través de una transformación digital.","Tiempo promedio de hospitalización de los hospitales de ESE","# días",8.35,"Sistema de Información Hospitalaria (SIH/SUS)","Número de pacientes-día / número de altas hospitalarias. Para este indicador se considera las hospitalizaciones de medicina interna.","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"186","BR-L1583",2021,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 1: Ampliar el acceso y la calidad de los servicios de salud del Estado de Sergipe.","Personas que reciben servicios de salud","#",2011407,"ANS: https://www.ans.gov.br/anstabn et/cgibin/tabnet?dados/tabnet_br.def","Se refiere a la población con cobertura exclusiva del SUS, es decir que no cuenta con seguros privados de salud. Se estima un crecimiento de 5% hasta el final del proyecto.","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"187","BR-L1583",2021,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 1: Ampliar el acceso y la calidad de los servicios de salud del Estado de Sergipe.","Personas que reciben servicios de salud","# of beneficiaries",2011407,"ANS: https://www.ans.gov.br/anstabn et/cgibin/tabnet?dados/tabnet_br.def","Se refiere a la población con cobertura exclusiva del SUS, es decir que no cuenta con seguros privados de salud. Se estima un crecimiento de 5% hasta el final del proyecto.","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"188","BR-L1583",2021,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 2: Modernizar los procesos de gestión y asistenciales, a través de una transformación digital.","Unidades de salud con prontuario electrónico implementado","%",0,"Coordinación de Sistemas de Información del SUS (SES/SE)","Número de unidades con prontuario electrónico implementado / total de unidades x 100.","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"189","BR-L1583",2021,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 1: Ampliar el acceso y la calidad de los servicios de salud del Estado de Sergipe.","Tiempo promedio en días de espera para acceder a exámenes de resonancia magnética","# días",90,"Central de Regulación (Sistema Acone)","Número de días entre la solicitud hasta su realización. Se ha elegido un examen que se utiliza para el diagnóstico de diversas enfermedades crónicas o de sus consecuencias.","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"190","BR-L1583",2021,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 1: Ampliar el acceso y la calidad de los servicios de salud del Estado de Sergipe.","Reingresos hospitalarios infantiles","%",0,"Directoria de Atención Especializada y de Urgencia (SES/SE)","(Número de niños menores de 12 años que reingresar al hospital en 3 meses X 100) / (Número de ingresos hospitalarios de niños menores de 12 años). El indicador no tiene todavia línea de base. La meta es basada en el Consorcio de Indicadores de Calidad Hospitalaria (Brasil, 2020).","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"191","BR-L1583",2021,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 2: Modernizar los procesos de gestión y asistenciales, a través de una transformación digital.","Farmacias del ESE con la lista completa de medicamentos","%",0,"Sistema de gestión logística de medicamentos","(Número de farmacias del ESE con la lista completa de medicamentos) / (total de farmacias) X 100. Se estima que en 2027 el sistema estará implantado en todas las farmacias de la ESE y se garantizará un mínimo del 80% de los servicios con la lista completa de medicamentos.","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"192","BR-L1583",2022,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 1: Ampliar el acceso y la calidad de los servicios de salud del Estado de Sergipe.","Nuevos establecimientos con certificado de cumplimiento de la norma de accesibilidad","%",0,"Coordinación de Vigilancia Sanitaria (COVISA)","Los edificios deben cumplir la norma ABNT NBR 9050.","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"193","BR-L1583",2022,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","Brazil","The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.","Objetivo específico de desarrollo 2: Modernizar los procesos de gestión y asistenciales, a través de una transformación digital.","Capacidad estimada de formación continuada de la Escuela de Salud Pública","Días-profesional/año",30.24,"Fundación Estatal de Salud (FUNESA)","Método de cálculo: capacidad total del edificio X 75% X 252. - Se estima que la ocupación promedia anual de la Escuela de Salud Pública es de 60% de su capacidad máxima. - Se considera un promedio de 252 días hábiles por año. Se estima una necesidad de capacitación de 72.000 díasprofesional/año. Dicha necesidad se calculó con base en una necesidad promedia de 5 días de capacitación por profesional por año y un total de 14.400 profesionales de la SES/SE","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe"
"195","BR-L1606",2022,"Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP","Brazil","The general objective of this operation is to improve the health conditions of the population of Ourinhos, by expanding access and improving the quality of health services. The specific objectives of this operation are: (i) to increase the access and effectiveness of health services; and (ii) expand the management capacity of the Municipal Health Secretariat (SMS).","Objetivo específico de desarrollo 1: ampliar el acceso y la efectividad de los servicios de salud.","Proporción de mujeres con prueba citopatológica en APS","%",15,"https://sisaps.saude.gov.br/painelsaps/situacao-geral","Numerador: Número de mujeres de 25 a 64 años que se han sometido a un examen citopatológico en la APS en los últimos 36 meses Denominador: Número de mujeres entre 25 y 64 años inscritas en APS","BR-L1606 - Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP"
"196","BR-L1606",2022,"Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP","Brazil","The general objective of this operation is to improve the health conditions of the population of Ourinhos, by expanding access and improving the quality of health services. The specific objectives of this operation are: (i) to increase the access and effectiveness of health services; and (ii) expand the management capacity of the Municipal Health Secretariat (SMS).","Objetivo específico de desarrollo 1: ampliar el acceso y la efectividad de los servicios de salud.","Proporción de mujeres embarazadas con el número recomendado de visitas prenatales según el MS","%",63,"https://sisaps.saude.gov.br/painelsaps/situacao-geral","Numerador: Número de mujeres embarazadas con al menos seis consultas prenatales, la primera hasta la 12ª semana de gestación Denominador: Número de mujeres embarazadas con atención prenatal en APS","BR-L1606 - Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP"
"197","BR-L1606",2022,"Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP","Brazil","The general objective of this operation is to improve the health conditions of the population of Ourinhos, by expanding access and improving the quality of health services. The specific objectives of this operation are: (i) to increase the access and effectiveness of health services; and (ii) expand the management capacity of the Municipal Health Secretariat (SMS).","Objetivo específico de desarrollo 1: ampliar el acceso y la efectividad de los servicios de salud.","Proporción de pacientes hipertensos con consultas y presión arterial medida al menos una vez por semestre","%",20,"https://sisaps.saude.gov.br/painelsaps/situacao-geral","Numerador: Número de personas hipertensas, con consulta y medición de presión arterial en los últimos 6 meses Denominador: Número de personas con hipertensión en el Sistema de Información de Salud de la Atención Primaria","BR-L1606 - Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP"
"198","BR-L1606",2022,"Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP","Brazil","The general objective of this operation is to improve the health conditions of the population of Ourinhos, by expanding access and improving the quality of health services. The specific objectives of this operation are: (i) to increase the access and effectiveness of health services; and (ii) expand the management capacity of the Municipal Health Secretariat (SMS).","Objetivo específico de desarrollo 1: ampliar el acceso y la efectividad de los servicios de salud.","Proporción de unidades de APS adecuadas a las normativas de vigilancia sanitaria","%",0,"https://sivisa.saude.sp.gov.br/sivisa/cidadao/","Numerador: Número de unidades de APS con Licencia Sanitaria válida expedida por organismo de vigilancia sanitaria competente5 x 100 Denominador: número de unidades de APS","BR-L1606 - Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP"
"199","BR-L1606",2023,"Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP","Brazil","The general objective of this operation is to improve the health conditions of the population of Ourinhos, by expanding access and improving the quality of health services. The specific objectives of this operation are: (i) to increase the access and effectiveness of health services; and (ii) expand the management capacity of the Municipal Health Secretariat (SMS).","Objetivo específico de desarrollo 2: ampliar la capacidad de gestión de la Secretaría Municipal de Salud.","Proporción de unidades de salud del municipio de Ourinhos con expediente electrónico implementado","%",62,"Informe de la Secretaría Municipal de Salud","Numerador: Número de unidades de salud del municipio de Ourinhos con expediente electrónico implementado x 100 Denominador: Total de unidades del municipio","BR-L1606 - Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP"
"200","BR-L1606",2023,"Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP","Brazil","The general objective of this operation is to improve the health conditions of the population of Ourinhos, by expanding access and improving the quality of health services. The specific objectives of this operation are: (i) to increase the access and effectiveness of health services; and (ii) expand the management capacity of the Municipal Health Secretariat (SMS).","Objetivo específico de desarrollo 1: ampliar el acceso y la efectividad de los servicios de salud.","Beneficiarios afrodescendientes de servicios públicos de APS con personal entrenado en temas de no discriminación","# of beneficiaries",0,"Informe de la Secretaría Municipal de Salud (SMS)","Se utilizará el reporte del e-SUS para determinar el número de beneficiarios afrodescendientes y se cruzará esta información con la lista de unidades de APS cuyo personal haya participado en la capacitación contra la discriminación (Producto 2.5).","BR-L1606 - Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP"
"201","BR-L1606",2023,"Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP","Brazil","The general objective of this operation is to improve the health conditions of the population of Ourinhos, by expanding access and improving the quality of health services. The specific objectives of this operation are: (i) to increase the access and effectiveness of health services; and (ii) expand the management capacity of the Municipal Health Secretariat (SMS).","Objetivo específico de desarrollo 2: ampliar la capacidad de gestión de la Secretaría Municipal de Salud.","Proporción de profesionales que participaron en la capacitación en protocolos clínicos y/o líneas de atención para condiciones prevalentes","%",0,"Acta y lista de asistencia de los cursos realizados","Numerador: Número total de profesionales públicos de salud (médicos, enfermeros y farmacéuticos) capacitados en protocolos clínicos y/o líneas de atención para condiciones prevalentes Denominador: Número total de profesionales públicos (médicos, enfermeros y farmacéuticos) de salud","BR-L1606 - Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP"
"202","BR-L1606",2023,"Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP","Brazil","The general objective of this operation is to improve the health conditions of the population of Ourinhos, by expanding access and improving the quality of health services. The specific objectives of this operation are: (i) to increase the access and effectiveness of health services; and (ii) expand the management capacity of the Municipal Health Secretariat (SMS).","Objetivo específico de desarrollo 1: ampliar el acceso y la efectividad de los servicios de salud.","Cobertura de servicios de APS","%",53.71,"https://sisaps.saude.gov.br/painelsaps/cobertura_aps","Numerador: Población registrada por los equipos de Estrategia de Salud de la Familia y Atención Primaria financiados por el Ministerio de Salud x 100 Denominador: Población estimada La meta está en consonancia con el Plan Nacional de Salud vigente. Fuente: Nota Metodológica da Cobertura da Atenção Primária à Saúde das equipes financiadas pelo Ministério da Saúde","BR-L1606 - Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP"
