"","Project Number","Baseline Year.x","Baseline Year.y","Operation Name","Long.op.name","objectives","objectives_indicators","outcomes","outcomes_indicators","outcomes_units","outcomes_means","health","malaria","covid","acceso","morbilidad","eficiencia","equidad","calidad_name","calidad_g_objective","calidad_outcome","calidad_outcome_ind","not.a.loan"
"57","ES-L1144",2020,2020,"Immediate Public Health Response to Contain and Control Coronavirus and Mitigate its Effect on Service Delivery in El Salvador","ES-L1144 - Immediate Public Health Response to Contain and Control Coronavirus and Mitigate its Effect on Service Delivery in El Salvador","+Contención y control del Coronavirus y mitigación de su efecto en los servicios de salud","Casos confirmados de COVID-19
Número de muertes por COVID-19","+Mejora en la capacidad de provisión de servicios
+Apoyar esfuerzos para la interrupción de la cadena de transmisión de la enfermedad
+Mejorar la detección oportuna y seguimiento de casos","+Beneficiarios que reciben servicios de salud
+Porcentaje de casos sospechosos a quienes se les realizó prueba confirmatoria (PCR-COVID 19)
+Número de pruebas COVID-19 procesadas diariamente por el Laboratorio Nacional de Referencia
+Porcentaje de hospitales con capacidad de imagenología para diagnóstico de COVID-19
+Porcentaje de establecimientos de salud con capacidad para triaje y/o aislamiento, laboratorios y/u otros ambientes en 25 Unidades Comunitarias de Salud Familiar (UCSF) priorizadas
+Implementación de un plan COVID-19 de comunicación comunitaria y comportamiento social
+Porcentaje de Hospitales priorizados con capacidad para atender a pacientes con diagnóstico COVID-19 acorde a los protocolos nacionales vigentes
+Porcentaje de hospitales priorizados con Unidades Institucionales de Atención Especializadas para las Mujeres (UIAEM)","+# of beneficiaries
+Porcentaje
+Número de pruebas procesadas
+Porcentaje
+Porcentaje
+Plan implementado
+Porcentaje
+Porcentaje","+Informe del MINSAL
+Informe de la Dirección de Vigilancia Sanitaria (DVS) / Informe Final de proyecto elaborado por la Unidad de Gestión del Programa
+Informes de la Unidad de Gestión del Programa (UGP) basado en datos de la página oficial MINSAL
+Informes de la Dirección Nacional de Hospitales y de la Dirección de Primer Nivel de Atención/ Informes de la Unidad de Gestión del Programa (UGP)
+Informes de la Dirección Nacional de Hospitales y de la Dirección de Primer Nivel de Atención/ Informes de la Unidad de Gestión del Programa (UGP)
+Informes de la Unidad de Gestión del Programa (UGP) basado en el informe de la Unidad de Comunicaciones de MINSAL
+Informes de la Dirección Nacional de Hospitales y de la Dirección de Primer Nivel de Atención/ Informes de la Unidad de Gestión del Programa (UGP)
+Informes de la Dirección Nacional de Hospitales y de la Dirección de Primer Nivel de Atención/ Informes de la Unidad de Gestión del Programa (UGP)",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"58","ES-L1159",2021,2023,NA,"ES-L1159 - NA","+incrementar la resiliencia de los hogares afectados por eventos adversos, incluyendo aquellos causados por cambio climático, a través de la creación de un sistema integrado de protección social responsivo a choques, la entrega de TM temporales y el fortalecimiento de la oferta de DIT para dichos hogares.","Indicador 1: Cambio porcentual en incidencia de inseguridad alimentaria en hogares afectados por choques a raiz del programa
Indicador 2: 
Tasa neta de educación inicial
Indicador 3: Error de inclusión en programas de transferencias.","+Objetivo específico de desarrollo 2: crear acceso a un nuevo programa de TM y servicios de DIT de calidad orientado a incrementar la resiliencia y la recuperación temprana de la población vulnerable por eventos externos.
+Objetivo específico de desarrollo 1: crear el acceso inclusivo a un sistema integrado de protección social responsivo para responder a eventos adversos, incluyendo aquellos relacionados al cambio climático.","+D.11: Porcentaje de hogares con personas con discapacidad afectados por eventos adversos que reciben transferencias
+D.12: Porcentaje de hogares afectados por eventos adversos, con adultos mayores de 70 años que no reciben pensión contributiva, que forman parte del sistema y reciben transferencias
+D.13: Porcentaje de Centros de Bienestar Infantil (CBI) que ofrecen servicios de alta calidad
+D.14: Cambio en la calidad del ambiente en el hogar en hogares beneficiarios de modalidad familiar de visitas domiciliarias con base al puntaje de Indicadores de Cuidado Familiar (Family Care Indicators, FCI).
+D.15: Porcentaje de municipios en riesgo con sistemas de alerta temprana
+D.1: Porcentaje de hogares expuestos a vulnerabilidad por eventos adversos incorporados en el sistema de registro de programas sociales
+D.2: Porcentaje de instituciones que brindan servicios frente a choques por eventos adversos que están incorporadas en el sistema de registro de programas sociales
+D.3: Porcentaje de hogares expuestos a vulnerabilidades por efectos adversos, liderados por mujeres que forman parte del sistema
+D.4: Porcentaje de hogares expuestos a vulnerabilidades por efectos adversos, con niños menores de 8 años que forman parte del sistema
+D.5: Porcentaje de hogares expuestos a vulnerabilidades por efectos adversos, con personas con discapacidad que forman parte del sistema.
+D.6: Porcentaje de hogares expuestos a vulnerabilidades por efectos adversos, con adultos mayores de 70 años que no reciben pensiones contributivas y forman parte del sistema de registro de programas sociales.
+D.7: Nivel de madurez del sistema de protección social responsivo a choques
+D.8: Porcentaje de hogares afectados por eventos elegibles que reciben transferencias
+D.9: Porcentaje de hogares liderados por mujeres afectadas por eventos elegibles que reciben transferencias
+D.10: Porcentaje de hogares afectados por eventos adversos, con niños menores de 8 años que forman parte del sistema y reciben transferencias","+Porcentaje
+Porcentaje
+Porcentaje
+desviaciones estandar
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+nivel
+Porcentaje
+Porcentaje
+Porcentaje","+Informe del sistema
+Informe del sistema
+Evaluacion de impacto
+Evaluacion de impacto
+Informe de proteccion civil
+Informe del sistema
+Informe del sistema
+Informe del sistema
+Informe del sistema
+Informe del sistema
+Informe del sistema
+Informe de consultoria
+Informe del sistema
+Informe del sistema
+Informe del sistema",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"59","ES-L1160",NA,NA,NA,NA,NA,NA,"+Fortalecer la capacidad de diseño de políticas sanitarias y de gestión de las unidades del MINSAL
+Mejorar la eficiencia en la provisión de servicios de apoyo a hospitales y PNA, así como la oportunidad de repuesta a las emergencias
+Mejorar la calidad de infraestructura del PNA, ampliar la cobertura especializada y fortalecer la resiliencia hospitalaria
+Mejorar el acceso y la cobertura de la red de servicios mediante el fortalecimiento e integración de los servicios de salud digital","+Política de Mantenimiento de activos en salud (infraestructura y equipos) aprobado
+Funcionarios de PNA certificados en políticas y gestión de ECNT
+Documentos normativos y regulatorios para ECNT aprobados
+Hospitales del área metropolitana y región central atendidos por lavandería central
+Hospitales atendidos por bancos de sangre productores de hemocomponentes
+Cobertura poblacional nuevos laboratorios del PNA
+COE-SP implementado y funcionando
+Resiliencia hospitalaria verificada
+Hospitales con UIAEM que han sido reforzadas con espacios mejorados y/o equipados verificados
+Unidades de salud construidas o mejoradas con estándares de accesibilidad universal verificada
+Cobertura Poblacional CENT
+Kilómetros de viajes evitados mediante el uso de servicios digitales remotos
+Pacientes recibiendo servicio de salud digital remoto
+Atenciones digitales remotas para pacientes con diabetes y/o hipertensión
+Consultas digitales de referencia a especialista atendidas
+Consultas Digitales Brindadas a PcD
+Estudios de imagen complejos gestionados en red
+Pacientes con resumen del expediente clínico nacional disponible y validado según estándares internacionales
+Cobertura poblacional de bases SEM","+Número
+Número
+Número
+%
+Número
+%
+Número
+%
+%
+%
+%
+km
+Número
+%
+%
+%
+%
+Número
+%","+Resolución MINSAL
+Dirección Recursos Humanos MINSAL
+Dirección de política y Programas Sanitarios
+Sistema de producción monitoreo y evaluación de hospitales
+SIS
+SIS/PNA
+Informe Dirección Epidemiología
+Reporte DNH y Verificación externa
+Reporte DNH
+Reporte PNA
+Reporte PNA
+SIS/RRI
+SIS
+SIS
+SIS/RRI
+SIS
+SIS
+SIS
+Reporte SEM",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"60","GU-L1163",2016,2016,"Program to Strengthen the Institutional Healthcare Service Network (PRORISS)","GU-L1163 - Program to Strengthen the Institutional Healthcare Service Network (PRORISS)","+Tasa de Mortalidad Infantil Huehuetenango y San Marcos
+Razón de Mortalidad Materna Huehuetenango y San Marcos","Tasa de Mortalidad Infantil Huehuetenango y San Marcos
Razón de Mortalidad Materna Huehuetenango y San Marcos
Tasa de Mortalidad Infantil Huehuetenango y San Marcos
Razón de Mortalidad Materna Huehuetenango y San Marcos","+Resultado 2: Calidad de servicio mejorada en Huehuetenango y San Marcos
+Resultado 3: Eficiencia Productiva Mejorada
+Resultado 1: Cobertura de servicios materno infantil mejorada en Huehuetenango y San Marcos","+Recién nacidos atendidos según norma
+Partos atendidos según norma
+Número de Laboratorios de rutina en APS Huehuetenango y San Marcos operando
+Hacinamiento de hospitalización obstétrica en Hospital de Malacatán
+Cobertura de monitoreo de crecimiento en niños/niñas menores de 24 meses
+Cobertura de embarazadas con exámenes de laboratorio en control prenatal
+Número de Bancos de Sangre procesadores a nivel nacional MSPAS
+Cobertura parto institucional
+Cobertura de atención prenatal oportuna
+Hospitales que aplican protocolo de Violencia contra la Mujer (VCM)","+%
+%
+#
+%
+%
+%
+#
+%
+%
+#","+Auditoria Expedientes Sistema de Información MSPAS desde año tres en adelante
+Auditoria Expedientes Sistema de Información MSPAS desde año tres en adelante
+Informe DAS Departamentales
+SIGSA (MSPAS)
+SIGSA (MSPAS)
+Auditoria Expedientes
+Informe MSPAS
+INE
+SIGSA (MSPAS e INE)
+Informe Unidad de Género MSPAS",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"61","GU-L1176",2019,2019,NA,"GU-L1176 - NA","+El objetivo general de este programa es contribuir a apoyar niveles mínimos de consumo de las personas vulnerables frente a la crisis causada por el COVID-19 en Guatemala.","Nivel de ingreso de familias vulnerables (tres quintiles más bajos) respecto a nivel de ingreso de familias no vulnerables (dos quintiles más altos) 12 meses después de inicio de la crisis","+El objetivo específico es apoyar niveles mínimos de ingreso de las personas afectadas por las medidas de emergencia derivadas de la pandemia COVID-19, en el periodo inmediato y durante la recuperación, a través del apoyo al Bono Familia.","+Hogares con acceso a electricidad que cumplen con los criterios de elegibilidad, son beneficiarios del Bono Familia y reciben transferencias como parte de la estrategia para enfrentar los impactos de COVID-19
+Hogares beneficiarios del Bono Familia sin acceso a electricidad que pertenecen a pueblos indígenas y reciben transferencias como parte de la estrategia para enfrentar los impactos de COVID 19
+Hogares sin acceso a electricidad en condición de vulnerabilidad que son beneficiarios del Bono Familia y reciben transferencias como parte de la estrategia para enfrentar los impactos de COVID 19","+%
+%
+%","+Plataforma Tecnológica del Bono Familia
+Plataforma Tecnológica del Bono Familia; fichas de registro de hogares sin electricidad al Bono Familia
+Plataforma Tecnológica del Bono Familia",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"62","GU-L1183",2014,2020,NA,"GU-L1183 - NA","+Mejorar la calidad de vida de la población más vulnerable a través de una mayor calidad del gasto en protección social y en servicios de salud","Porcentaje de beneficiarios del Bono Social en situación de extrema pobreza
Razón de mortalidad materna","+Mejorar la calidad de los servicios de salud provistos por el MSPAS a través de la implementación de políticas de atención prenatal y parto, coordinación de urgencias, tecnologías de información de salud y atención intercultural
+Mejorar la calidad y la transparencia de los programas de protección social mediante el fortalecimiento de capacidades de gestión, focalización, comunicación y evaluación del MIDES","+Porcentaje del personal que ha recibido capacitaciones en materia de salud intercultural en el marco del Plan de Acción de Salud Intercultural en dos Direcciones de Área de Salud (DAS) priorizadas
+Porcentaje de embarazos atendidos con estándares de calidad en los municipios priorizados
+Porcentaje de partos atendidos con estándares de calidad en los municipios priorizados
+Porcentaje de consultas de salud registradas en sistemas informáticos en las redes en las que se haya implementado sistemas de historia clínica electrónica
+Porcentaje de los programas sociales del MIDES alineados a la nueva Política de Desarrollo Social y Población
+Porcentaje de nuevos beneficiarios de programas sociales del MIDES que cuentan con información socioeconómica a partir de la nueva FECS
+Porcentaje de la inversión del MIDES ejercida por programas que tuvieron una evaluación realizada según los lineamientos de monitoreo y evaluación
+Número de programas del MIDES evaluados por la incorporación de criterios de género en su operación","+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+# de Programas","+Informe de UASPIG
+Informe PRORISS
+Informe PRORISS
+Informe del SISGA sobre registros de producción por medios digitales y físicos
+Documentos estratégicos de los programas sociales (Matriz de Marco Lógico o Evaluación de Consistencia)
+Sistema de información del MIDES
+Registro de evaluaciones realizadas y presupuesto ejercido por los programas
+Documentos estratégicos de los programas sociales",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"63","GY-L1058",2014,2014,"Support to Improve Maternal and Child Health","GY-L1058 - Support to Improve Maternal and Child Health","+Contribute to the reduction of maternal, perinatal, and neonatal deaths in Guyana by 2021","Neonatal Mortality Rate
Maternal mortality ratio.","+Improved quality of reproductive, maternal, and neonatal health services
+Increased effectiveness of the maternal and neonatal healthcare network
+Increased access and use of reproductive, maternal, and neonatal health services","+Women that received immediate postpartum care according to best practices (every 15 minutes in the first hour and every 30 minutes in the second hour).
+Health facilities with continuous availability of inputs and equipment to provide quality antenatal and post-natal care.
+Obstetric complications (sepsis, hemorrhage, severe pre-eclampsia and eclampsia) managed according to norms.
+First time users of family planning methods
for the year.
+Pregnant women with anemia at first antenatal visit.
+Institutional deliveries for which oxytocin was administered immediately following birth as part of Active Management of the Third Stage of Labor.
+Institutional deliveries for which immediate neonatal care was provided to the infant according to the norms.
+Women who gave birth in a health facility in the rural interior.
+Women that are referred to the national hospital for obstetric conditions that could have been resolved at another level of care.
+Births from adolescent mothers (19 years and younger).
+Women who receive antenatal care before 12 weeks pregnant.
+Deliveries for which the partograph was used according to best practices.
+Neonates with complications (prematurity, low birth weight, asphyxia and sepsis) managed according to norms.
+Health facilities with continuous availability of inputs and equipment to provide essential and emergency obstetric and neonatal care.
+Pregnant women receiving quality antenatal care according to best practices.","+%
+%
+%
+Number of clients
+%
+%
+%
+%
+%
+%
+%
+%
+%
+%
+%","+HFS, MRR
+HFS, MRR
+HFS, MRR
+MCH Report, Clinic Summary Report (CSR)
+MCH Report, CSR
+HFS, MRR
+HFS, MRR
+MCH Report, Clinic Summary Report (CSR)
+HFS, MRR
+Vital Statistics, Ministry of Health Statistical Bulletin
+MCH Report, Clinic Summary Report (CSR)
+HFS, MRR
+HFS, MRR
+HFS, MRR
+Health Facility Surveys (HFS), Medical Record Review (MRR) module",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"64","GY-L1077",NA,NA,NA,"GY-L1077 - NA","+The general development objective is to contribute to ensuring minimum levels of quality of life for vulnerable persons amid the crisis caused by COVID-19","NA","+Support minimum income levels for those affected by COVID-19 in the immediate period
+Preserve the human capital of those affected by the COVID-19 crisis","+Beneficiaries of the Old Age Pension Service that receive extraordinary support as part of the strategy to counter the impacts of COVID‑19
+Beneficiaries of the Public Assistance program that receive extraordinary support as part of the strategy to counter the impacts of COVID‑19
+Students in public primary and secondary schools in the hinterland and riverine areas benefited with worksheets
+Public dorm schools in the hinterland, riverine or coastal rural areas with improved access to potable water
+Public school students (Nursery to 9th grade) who benefit from distance learning lessons (Radio or TV) aligned with the consolidated curriculum
+Students in public primary and secondary schools benefited with new textbooks
+Households that consume less than 75KWH per month which receive extraordinary credit support as part of the strategy to counter the impacts of COVID‑19
+Women beneficiaries of Old Age Pension Services or Public Assistance Program who receive support from the Survivors Advocates Program
+Teachers in public primary and secondary schools benefited with curriculum guides
+Students in public tertiary education with student loans, benefitted with loan relief in the 2020-2021 academic year","+% of individuals
+% of individuals
+# of students
+% of dorm schools
+# of students
+# of students
+% of households
+# of women
+% of teachers
+% of students","+Final report from PEU, based on administrative system to track beneficiaries and payments
+Final report from PEU, based on administrative system to track beneficiaries and payments
+Final report PIU
+Final report from PIU detailing the schools and measures carried out to improve access to potable water
+Survey report conducted by the PIU
+Final report PIU
+Final report from PEU, based on Guyana Power and Light Incorporated information system.
+Final report from PEU, based on SAP data to track support to women beneficiaries
+Final report from PIU that documents signed receipt of curriculum guide delivered to each teacher
+Official letter from the Student Loan Agency to each student confirming their loan relief",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"65","GY-L1080",2019,2022,"Health Care Network Strengthening in Guyana","GY-L1080 - Health Care Network Strengthening in Guyana","+Improve the health of the Guyanese population through increased access, quality, and efficiency of health services","Risks of premature death from NCDs
Risk of premature death from NCDs
Vision impairment and blindness due to diabetic retinopathy
Crude mortality rate in the intervened regions
Crude mortality rate
Age-standardized death rate due to self-harm","+Increase the efficiency of the public health system, by strengthening key logistic, management, and support processes and inputs
+Extend coverage of diagnostic, medical consultation, and patient management services, inclusive of the country’s hinterlands, through digital health
+Improve health outcomes associated with low and high complexity procedures, by expanding the capacity of strategic hospitals","+Availability of metformin (diabetes medication) in health centers
+Telemedicine mental health patients with improved social functioning/symptoms
+Diabetes treatment rate in seven target hospitals
+Diabetic patients screened for diabetic retinopathy
+Patients whose diagnostic imaging scan was completed within the target wait time
+Pregnant women that are screened for diabetes according to guidelines
+Availability of hypoglycemic agent (diabetes medication) in health posts
+Beneficiaries receiving health services
+Trained health workers and administrators, inclusive of the hinterlands, who comply with EHR manuals and regulations
+Total surgeries in three target hospitals
+Pregnant women with complete lab work in targeted regions
+Institutional deliveries in four target hospitals
+Number of hospitals in the four targeted hinterland regions providing telehealth services (consultations and diagnostics)
+Global Health Security Index
+Pregnant women with access to a maternity waiting home (at four targeted hospitals in the hinterlands)
+Number of satellite PHC clinics benefitted from the EHR system that is able to electronically refer patients to GPHC
+Total number of surgeries in four target hospitals
+Beneficiaries receiving health services
+Institutional deliveries in four target hospitals
+ICU discharges (alive) in three target hospitals
+Clinical notes registered in the EHR
+Hypertension treatment rate in seven target hospitals
+Institutional deliveries in four target regions
+Patients diagnosed with hypertension who do blood pressure control every six months in four target hospitals
+Beneficiaries receiving health services","+%
+%
+%
+%
+%
+%
+%
+# of beneficiaries
+%
+#
+%
+%
+#
+Points
+#
+#
+#
+# of beneficiaries
+%
+#
+%
+%
+%
+#
+# of beneficiaries","+Administrative data from health regions
+Med. record review
+ed. record review
+Hospital information system
+Radiology reports
+Administrative data from health regions
+IDB facilities assessment
+MOH administrative data
+Electronic health record system
+Hospital information system
+ed. record review
+MOH administrative data
+Administrative data from regional hospitals
+www.ghsindex.org
+Administrative data from health regions
+Electronic health record system
+Administrative data from hospitals
+NA
+NA
+Hospital information system
+Electronic health record system
+Med. record review
+Administrative data from hospitals
+Administrative data from hospitals
+Administrative data from hospitals",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"66","HA-J0001",2021,2021,NA,"HA-J0001 - NA","+The general objective of this project is to contribute to ensuring minimum levels of quality of life for vulnerable persons amid the crisis caused by COVID-19.","Households with an IPC of above 4 in selected areas of intervention for the program","+Support minimum income levels for those affected by the coronavirus in the immediate period and during the recovery","+Beneficiary students at the existing school feeding program that receive school meals as part of the strategy to counter the impacts of COVID-19
+Households that receive special transfers as part of the strategy to counter the impacts of COVID-19","+%
+%","+Semester Reports, FAES
+Semester Reports, FAES",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"67","HA-J0005",2022,2022,NA,"HA-J0005 - NA","+To contribute to reducing food insecurity among vulnerable populations in Haiti and to increasing the medium- and long-term resilience among vulnerable populations in Haiti","Percentage of population in selected areas of intervention for the program with an Integrated Food Security Phase Classification (IPC) level 3 or above","+To provide temporary income to individuals living in food-insecure areas
+To improve access to basic health and other social services for vulnerable households living in fragile neighborhoods
+To assist IDPs, manage return migration, and assess migrants needs
+To strengthen the capacity to target and monitor safety net programs, by improving information systems","+Percentage of food insecure households that receive unconditional or conditional transfers for increased food security in selected areas of intervention
+Percentage of women among recipients of unconditional cash transfers for increased food security in selected areas of intervention
+Percentage of women among recipients of transfers conditional on participation in small works related to community environmental assets.
+Percentage of small work projects that are classified as resilience strengthening
+Percentage of individuals assisted by GHESKIO and Partners in Health (PIH) that receive an integrated package of cash transfers and complementary services
+Percentage of return migrants registered into the Commcare-based platform
+Percentage of population registered into SIMAST
+Return migrants registered into the Commcare-based platform","+%
+%
+%
+%
+%
+%
+%
+%","+Semester Reports, FAES
+Semester Reports, FAES
+Semester Reports, FAES
+Semester Reports, FAES
+Semester Reports, FAES
+Semester Reports, FAES / OIM
+Semester Reports FAES / WFP
+Semester Reports, FAES / OIM",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"68","HA-J0007",2023,2023,NA,"HA-J0007 - NA","+To address food insecurity among vulnerable populations in Haiti by improving access to food and to increase the use of preventive and essential health services","Households with an IPC of 3 or higher in selected areas of intervention for the program
Beneficiaries assisted by GHESKIO and ZL-PIH under this program who experience an improvement in their medically diagnosed condition","+Strengthen the institutional capacity of the government to target the most vulnerable through the expansion of SIMAST, and manage social protection interventions through the use of Commcare
+Improve health access through increased supply of and access to preventive and essential healthcare services incentivized by transfers
+Contribute to food security and climate resilience through transfers conditional to community-driven cash-for-work programs","+% of the population registered into SIMAST
+% of newly assisted beneficiaries registered into Commcare
+Beneficiaries that fully comply with the treatment to which they are assigned under the program
+Beneficiaries of transfers conditional to the participation in cash-for-work, not yet assisted by other programs, who have a poor or inadequate food consumption score
+Implemented community-driven cash for work projects classified as resilience strengthening","+Percentage (%)
+Percentage (%)
+Percentage (%)
+Percentage (%)
+Percentage (%)","+Semester Reports, FAES
+Semester Reports, FAES
+Semester Reports, FAES, presenting PAHO data
+Semester Reports, FAES
+Semester reports from FAES, detailing the technical description of the small works",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"69","HA-J0008",NA,NA,NA,NA,NA,NA,"+Support household income to sustain food consumption
+Improve access to and use of integrated essential healthcare services
+Strengthen GoH institutional capacity to identify and assist vulnerable populations.
+Increase children and youths inclusion through safe and stimulating environments","+Food insecure households that receive unconditional transfers in selected areas of intervention
+Hospitals in priority departments that offer comprehensive emergency obstetric care.
+Facilities in priority departments offering the full Essential Care Package, according to their category
+Food insecure households that receive conditional transfers in selected areas of intervention
+Small work projects that are classified as resilience strengthening
+Coverage of complete deworming treatment for children 1 to 14 years in priority departments
+Assisted beneficiary households consuming at least three meals per day.
+Population registered into SIMAST
+Health Districts (UAS) performing at level 3 or 4 according to the Health Decentralization Framework Document
+Children on track in development status (instrument: ECDI2030)
+Youths’ startups that graduate from the Incubator
+Coverage of institutional deliveries in priority departments
+Coverage of second Measles and Rubeola Vaccine dose in for children 11 to 12 months old in prioritized departments","+%
+Number
+%
+%
+%
+%
+%
+%
+%
+Index
+%
+%
+%","+Progress Reports
+Final evaluation-PAHO
+NA
+Progress Reports
+Progress Reports
+SISNU
+Final evaluation
+Progress Reports
+Final evaluation-PAHO
+Impact evaluation of RUL-PAHO
+Final evaluation-PAHO
+SISNU
+SISNU",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"70","HA-L1137",2018,2020,NA,"HA-L1137 - NA","+Socioeconomic integration of young people increases","Pro-social behavior among beneficiaries.
Youth beneficiaries of training that worked during last week.
Percentage of startups (of graduated entrepreneurs) that are still in operation 12 months after the graduation of the entrepreneur
Youth beneficiaries of training that worked during last week.
Percentage of startups (of graduated entrepreneurs) that are still in operation 12 months after the graduation of the entrepreneur
Pro-social behavior among beneficiaries.","+Short-term income opportunities created
+Employability of vulnerable young people improved
+FAES’ procurement, administration and project management capacity strengthened, and MAST’S labor intermediation capacity strengthened","+Beneficiaries 18 35 who receive income from temporary employment and who have remained employed in one community project for its entire duration
+Youth 16-29 participating in a skills development program who receive a certificate
+Youth 18-29 who graduate from the Incubator
+Institutional assessment score of system of administration and procurement of goods and services.
+Institutional assessment score of planning of activities.
+Job seekers registered in Labor Intermediation Technological Platform (LITP).
+Firms registered in the LITP.
+Jobseekers referred to a job offer.
+New households registered in the Information System of the MAST (SIMAST).","+Percentage
+Percentage
+Percentage
+Percentage
+Percentage
+Number of persons
+Number of firms
+Number of persons
+Number","+Semester reports
+FAES project monitoring reports
+FAES project monitoring reports
+Analysis using the SABS questionnaire of the SECI instrument
+Analysis using the SPA questionnaire of the SECI instrument
+Labor Intermediation Technological Platform (LITP).
+Labor Intermediation Technological Platform (LITP).
+Labor Intermediation Technological Platform (LITP).
+SIMAST",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"71","HA-L1145",2019,2019,NA,"HA-L1145 - NA","+To contribute to ensuring minimum levels of quality of life for vulnerable persons amid the crisis caused by COVID-19","Food consumption level of vulnerable families compared to that of nonvulnerable families 12 months after the onset of the crisis","+Support minimum income levels for those affected by the coronavirus in the immediate period and during the recovery","+Beneficiaries of the existing school meal program that receive school meals for an extended 6-month period as part of the strategy to counter the impacts of COVID-19
+Beneficiaries that receive special school meals who were not participating in an existing school meal program before COVID-19.
+Total temporary unemployed textile workers that received subsides during the temporary closure of factories compared with the total temporary unemployed population in the textile sector
+Households that receive special transfers who were not listed in the transfer programs’ beneficiary rosters or information systems before COVID-19","+%
+%
+%
+%","+End of year technical audit, FAES
+End of year technical audit, FAES.
+Short enterprises survey, FAES
+Semester Reports, FAES",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
