"","project_number","Country Name","Baseline Year","Long.op.name","objectives","Objective","outcomes","outcomes_indicators","outcomes_units","outcomes_means","reformulated","health","malaria","covid"
"1553","CO-L1248","Colombia",2018,"CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach.","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.","Mejorar la gestión en servicios y tecnologías no financiadas con la UPC","Porcentaje de cuentas por pagar de las entidades territoriales por concepto de tecnologías no financiados con cargo a la UPC del régimen subsidiado prestados a 31 de diciembre de 2019 pagadas","%","Informe de ejecución del acuerdo de punto final por parte de la Dirección de Financiamiento Sectorial del MSPS.","NO",TRUE,FALSE,FALSE
"1556","CO-L1248","Colombia",2018,"CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach.","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.","Mejorar la cobertura de afiliación de la población inmigrante","Atenciones en salud obstétricas para inmigrantes no afiliados","# of beneficiaries","Informe del MSPS con base en proceso de auditoría de pagos.","NO",TRUE,FALSE,FALSE
"1559","CO-L1248","Colombia",2018,"CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach.","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.","Mejorar la eficiencia y cobertura del SGSSS","Proporción de mujeres entre 25 y 65 años tamizadas para cáncer de cuello uterino con cualquier prueba de tamización en los territorios priorizados para el Componente 2","% en cada territorio","Informe de implementación de la herramienta nominal del MSPS.","NO",TRUE,FALSE,FALSE
"1562","CO-L1248","Colombia",2018,"CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach.","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.","Mejorar la eficiencia y cobertura del SGSSS","Proporción de personas de treinta años o más en cada territorio priorizado para el Componente 2 con tamizaje para riesgo cardiovascular y metabólico","% en cada territorio","Informe de implementación de la herramienta nominal del MSPS.","NO",TRUE,FALSE,FALSE
"1565","CO-L1248","Colombia",2018,"CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach.","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.","Mejorar la eficiencia y cobertura del SGSSS","Proporción de gestantes con captación temprana al control prenatal (semana 12) en cada territorio priorizado para el Componente 2","% en cada territorio","Informe de implementación de la herramienta nominal del MSPS.","NO",TRUE,FALSE,FALSE
"1568","CO-L1248","Colombia",2018,"CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach.","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.","Mejorar la gestión en servicios y tecnologías no financiadas con la UPC","Ahorro por valores máximos de recobro o techos presupuestales en servicios y tecnologías no financiadas con la UPC en régimen contributivo","Miles de millones de COP","Base de datos de recobros de la Administradora de los Recursos del Sistema General de Seguridad Social en Salud (ADRES), posterior a la estandarización realizada por la Dirección de Beneficios, Costos y Tarifas del Aseguramiento en Salud del MSPS.","NO",TRUE,FALSE,FALSE
"1571","CO-L1248","Colombia",2018,"CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach.","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.","Mejorar la gestión en servicios y tecnologías no financiadas con la UPC","Porcentaje de recobros por concepto de tecnologías no financiadas con la UPC del régimen contributivo prestados a 25 de mayo de 2019 saneados","%","Informe de ejecución del acuerdo de punto final por parte de la Dirección de Financiamiento Sectorial del MSPS.","NO",TRUE,FALSE,FALSE
"1574","CO-L1248","Colombia",2019,"CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach.","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.","Mejorar la cobertura de afiliación de la población inmigrante","Inmigrantes afiliados","# of beneficiaries","BDUA del MSPS.","NO",TRUE,FALSE,FALSE
"1577","CO-L1248","Colombia",2019,"CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach.","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.","Mejorar la eficiencia y cobertura del SGSSS","Número de departamentos/distritos a los cuales se les hace seguimiento de actividades programáticas de promoción y mantenimiento de la salud en el marco de los acuerdos MAITE a través del sistema de información del MSPS","# de departamentos/distritos","Informe de verificación de indicador de desembolso del DNP que incluya: Reporte de actividades programáticas trimestral del MSPS y acta de seguimiento trimestral por cada entidad territorial.","NO",TRUE,FALSE,FALSE
"1580","CO-L1248","Colombia",2019,"CO-L1248 - Program to improve sustainability of the health system in Colombia with an inclusive approach.","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.","Mejorar la eficiencia y cobertura del SGSSS","Número de entidades usuarias de la herramienta de seguimiento nominal","# de entidades (EPS e IPS)","Informe de implementación de la herramienta nominal del MSPS.","NO",TRUE,FALSE,FALSE
"1583","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Porcentaje de mujeres de mujeres embarazadas con evaluación de riesgo del embarazo realizada antes de la semana 15 de embarazo en las cinco regiones del Proyecto, aumentada","Porcentaje","Reportes Sistema de Gestión Clinica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1586","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Porcentaje de individuos sintomáticos respiratorios captados con resultados de baciloscopia documentado en centro de primer nivel en las cinco regiones del proyecto, aumentado","Porcentaje","Reportes Sistema Gestión Clínica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1589","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Cantidad de dependientes afiliados al régimen subsidiado que poseen información de acta de nacimiento en la base de datos de afiliados del SENASA en las cinco regiones del proyecto, aumentado.","Dependientes","Reporte de Base de Datos del SENASA","NO",TRUE,FALSE,FALSE
"1592","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Mujeres diagnosticadas con Diabetes tipo II en tratamiento según protocolo nacional en las cinco regiones del proyecto, aumentado","Porcentaje","Reportes Sistema Gestión Clínica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1595","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Hombres mayores de 18 años con tamizaje para diabetes según protocolo nacional (screening diabetes) en las cinco regiones del proyecto, aumentado","Porcentaje","Reportes Sistema Gestión Clínica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1598","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Mujeres mayores de 18 años tamizadas para hipertensión arterial según protocolo nacional en las cinco regiones del proyecto, aumentado","Porcentaje","Reportes Sistema Gestión Clínica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1601","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Contribuir a la disminución de la morbi-mortalidad materna e infantil mediante la expansión de una estrategia de mejoras gerenciales en los servicios de salud de segundo y tercer nivel","Porcentaje de mujeres que reciben tratamiento activo de la tercera etapa del parto en los hospitales en que se implementará el CEMI, aumentado .","Porcentaje","Reportes de Descripción de Parto obtenido en la primera etapa del registro físico de cada paciente, una vez implementado el SIGHO","NO",TRUE,FALSE,FALSE
"1604","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Contribuir a la disminución de la morbi-mortalidad materna e infantil mediante la expansión de una estrategia de mejoras gerenciales en los servicios de salud de segundo y tercer nivel","Hospitales con SIGHO implementado y en funcionamiento en los hospitales en que se implementará el CEMI.","Sistema","Reportes anuales de evaluación emitidos por la Dirección de Tecnología de Información del MISPAS","NO",TRUE,FALSE,FALSE
"1607","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Porcentaje de niños mayores de 15 meses y menores de 24 meses con esquema de vacunación completo según protocolo nacional en las cinco regiones del Proyecto, aumentado","Porcentaje","Reportes Sistema de Gestión Clinica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1610","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Porcentaje de población SIUBEN I y II con carnets de afiliación al régimen subsidiado en las cinco regiones del proyecto, aumentado","Porcentaje","Informes de empresa encargada de elaboración y entrega de carnets / reportes de auditorías concurrentes","NO",TRUE,FALSE,FALSE
"1613","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Porcentaje de menores de 15 meses con esquema de vacunación completo según protocolo nacional en las cinco regiones del Proyecto, aumentado","Porcentaje","Reportes Sistema de Gestión Clinica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1616","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Porcentaje de niños menores de 24 meses con controles de desarrollo y crecimiento completo según protocolo nacional en las cinco regiones del proyecto, aumentado","Porcentaje","Reportes Sistema de Gestión Clinica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1619","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Contribuir a la disminución de la morbi-mortalidad materna e infantil mediante la expansión de una estrategia de mejoras gerenciales en los servicios de salud de segundo y tercer nivel","Porcentaje de las muertes neonatales auditadas auditadas por los Comités de Maternidad Segura con al menos una de las medidas correctivas implementadas en los hospitales en que se implementará el CEMI.","Porcentaje","Actas de las sesiones del Comité","NO",TRUE,FALSE,FALSE
"1622","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Hombres diagnosticados con hipertensión arterial en tratamiento según protocolo nacional en las cinco regiones del proyecto, aumentado","Porcentaje","Reportes Sistema Gestión Clínica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1625","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Mujeres mayores de 18 años con tamizaje para diabetes según protocolo nacional (screening diabetes) en las cinco regiones del proyecto, aumentado","Porcentaje","Reportes Sistema Gestión Clínica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1628","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Mujeres diagnosticadas con hipertensión arterial en tratamiento según protocolo nacional en las cinco regiones del proyecto, aumentado","Porcentaje","Reportes Sistema Gestión Clínica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1631","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Hombres diagnosticados con Diabetes tipo II en tratamiento según protocolo nacional en las cinco regiones del proyecto, aumentado","Porcentaje","Reportes Sistema Gestión Clínica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1634","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Contribuir a la disminución de la morbi-mortalidad materna e infantil mediante la expansión de una estrategia de mejoras gerenciales en los servicios de salud de segundo y tercer nivel","Porcentaje de muertes maternas e incidentes auditados por los Comités de Maternidad Segura con al menos una de las medidas correctivas implementadas en los hospitales en que se implementará el CEMI.","Porcentaje","Actas de las sesiones del Comité","NO",TRUE,FALSE,FALSE
"1637","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Hombres mayores de 18 años tamizados para hipertensión arterial según protocolo nacional en las cinco regiones del proyecto, aumentado","Porcentaje","Reportes Sistema Gestión Clínica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1640","DR-L1067","Dominican Republic",2013,"DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Re","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","The overall project objective is to increase the efficiency and effectiveness of health spending allocated to the most vulnerable population of RD. The specific objectives are: (i) to improve the allocation of health spending by expanding the results-based financing, with special emphasis on primary care; (ii) contribute to decreased maternal morbidity and infant mortality by expanding strategy management improvements in health services in secondary and tertiary levels; y (iii) support the Ministry of Health in conducting sector through institutional strengthening and development of monitoring and evaluation tools for decision-making.","Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención","Porcentaje de mujeres puérperas referidas del hospital a su unidad de atención primaria correspondiente con la documentación adecuada incluida en los archivos clinicos del centro de salud en las cinco regiones del Proyecto, aumentado.","Porcentaje","Reportes Sistema Gestión Clínica Primer Nivel (SGC)","NO",TRUE,FALSE,FALSE
"1643","DR-L1069","Dominican Republic",2014,"DR-L1069 - Program to Support Strengthening of Health Sector Management","+Mejorar la cobertura, la calidad y el acceso de los servicios de salud para la población más vulnerable de República Dominicana (RD).","The objective of this operation is to improve the efficiency and effectiveness of public health spending aimed at the most vulnerable population of the Dominican Republic, ensuring continued access to quality services, catered to the epidemiological profile of the population, in all levels of care (primary, secondary and tertiary).","Mejorar la calidad de los servicios de salud destinados a la poblacion más vulnerable","Consultas de las 10 patologías de mayor prevalencia realizadas en base a protocolos clínicos en el primer nivel de atención","%","Reportes de auditoria.","NO",TRUE,FALSE,FALSE
"1647","DR-L1069","Dominican Republic",2014,"DR-L1069 - Program to Support Strengthening of Health Sector Management","+Mejorar la cobertura, la calidad y el acceso de los servicios de salud para la población más vulnerable de República Dominicana (RD).","The objective of this operation is to improve the efficiency and effectiveness of public health spending aimed at the most vulnerable population of the Dominican Republic, ensuring continued access to quality services, catered to the epidemiological profile of the population, in all levels of care (primary, secondary and tertiary).","Incrementar la eficiencia y la efectividad del gasto en salud","Prestaciones capitadas del Seguro Nacional de Salud (SENASA) pagadas contra resultados","%","Reportes de auditoria.","NO",TRUE,FALSE,FALSE
"1651","DR-L1069","Dominican Republic",2014,"DR-L1069 - Program to Support Strengthening of Health Sector Management","+Mejorar la cobertura, la calidad y el acceso de los servicios de salud para la población más vulnerable de República Dominicana (RD).","The objective of this operation is to improve the efficiency and effectiveness of public health spending aimed at the most vulnerable population of the Dominican Republic, ensuring continued access to quality services, catered to the epidemiological profile of the population, in all levels of care (primary, secondary and tertiary).","Incrementar la eficiencia y la efectividad del gasto en salud","Intervenciones ambulatorias en los SRS que ocurre en el primer nivel de atención","%","Sistema de Gestión Clínica y formulario 67A del Ministerio de Salud.","NO",TRUE,FALSE,FALSE
