"","Project Number","Baseline Year","Operation Name","Long.op.name","objectives","objectives_indicators","objectives_units","health","malaria","covid","calidad","acceso","morbilidad","eficiencia","equidad"
"42","BR-L1518",2019,"Program to Strengthen the Care Model in the Paraiba Health Network","BR-L1518 - Program to Strengthen the Care Model in the Paraiba Health Network","+Contribuir para a melhoria das condições de saúde da população da Paraíba
+Contribuir a mejorar las condiciones de salud de la población de Paraíba","Taxa de mortalidade prematura por Diabetes Melitus (DM) - Homens
Taxa de mortalidade prematura por acidentes cerebrais-vasculares - Homens
Tasa de mortalidad materna por causas directas (obstétricas)
Tasa de mortalidad prematura por accidentes cerebrovasculares - Hombres
Taxa de mortalidade prematura por acidentes cerebrais-vasculares - Mulheres
Taxa de mortalidade prematura por Diabetes Melitus (DM) - Homens
Tasa de mortalidad por enfermedades coronarias - Mujeres
Taxa de mortalidade prematura por Diabetes Melitus (DM) - Mulheres
Taxa de mortalidade prematura por Diabetes Melitus (DM) - Mulheres
Taxa de mortalidade prematura por acidentes cerebrais-vasculares - Homens
Taxa de mortalidade prematura por enfermidades coronárias - Mulheres
Taxa de mortalidade prematura por acidentes cerebrais-vasculares - Mulheres
Taxa de mortalidade prematura por enfermidades coronárias - Homens
Taxa de mortalidade prematura por enfermidades coronárias - Mulheres
Tasa de internaciones por condiciones sensibles a la atención básica- Hombres
Tasa de mortalidad prematura por Diabetes Mellitus (DM) - HOMBRES
Taxa de mortalidade prematura por enfermidades coronárias - Homens
Tasa de mortalidad prematura por Diabetes Mellitus (DM) - MUJERES
Tasa de mortalidad por enfermedades coronarias - Hombres
Tasa de mortalidad prematura por accidentes cerebrovasculares - Mujeres
Taxa de mortalidade materna por causas diretas
Tasa de internaciones por condiciones sensibles a la atención básica- Mujeres","/100.00 habitantes - óbitos
/100.00 habitantes
/100.000 nacidos vivos
/100.00 habitantes
/100.00 habitantes
/100.000 habitantes - óbitos
/100.00 habitantes
/100.00 habitantes - óbitos
/100.000 habitantes - óbitos
/100.000 habitantes
/100.00 habitantes - óbitos
/100.000 habitantes
/100.000 habitantes - óbitos
/100.000 habitantes - óbitos
/10.000 habitantes
/100.00 habitantes
/100.00 habitantes - óbitos
/100.00 habitantes
/100.00 habitantes
/100.00 habitantes
/100.000 nacidos vivos
/10.000 habitantes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"43","BR-L1519",2018,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","+Contribuir para melhorar a saúde da população do Município de Belo Horizonte
+Contribuir para mejorar la salud de la población del Municipio de Belo Horizonte","Percentual de internações por condições sensíveis à atenção primária
Tasa de mortalidad prematura por Enfermedades Crónicas no Transmisibles
Taxa de Mortalidade Prematura por doenças crônicas não transmissíveis
Porcentaje de hospitalizaciones por condiciones sensibles a la atención básica","/100 internações
Muertes por 100.000 habitantes
Óbitos por 100.000 habitantes
/100.000 hospitalizaciones",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"44","BR-L1543",2020,NA,"BR-L1543 - NA","+Objetivo general de desarrollo: El objetivo general del proyecto será contribuir a mejorar el desarrollo infantil de la población beneficiaria del PCF de una manera más eficiente, refinando y calificando sus acciones.","Puntaje prueba Ages and Stages Questionnaire – 3 (ASQ-3)","Puntos ASQ-3 (0 - 300)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"45","BR-L1554",2020,NA,"BR-L1554 - NA","+Contribuir a asegurar niveles mínimos de calidad de vida de las personas vulnerables frente a la crisis causada por el COVID-19","Empleos formales en el sector privado que fueron protegidos de perderse a través de la implementación del Programa de Emergencia de Manutención de Empleo e Ingresos (PEMEI), al año de su implementación.
Hogares que fueron protegidos de caer por debajo de la línea de pobreza a través de la implementación de la Asistencia de Emergencia y de Bolsa Família, durante el plazo de ejecución del Proyecto.","Puntos porcentuales
Puntos porcentuales",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"46","BR-L1583",2020,"Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe","+Mejorar la salud de la población del Estado de Sergipe.","Tasa de mortalidad prematura por Accidente Cerebrovascular (ACV) en mujeres
Tasa de mortalidad prematura por ACV en hombres
Tasa de mortalidad prematura Diabetes Mellitus (DM) en hombres
Tasa de mortalidad prematura Diabetes Mellitus (DM) en mujeres
Tasa de mortalidad neonatal tardía","/100.000 habitantes
/100.000 habitantes
/100.000 habitantes
/100.000 habitantes
/100.000 habitantes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"47","BR-L1606",2019,"Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP","BR-L1606 - Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP","+Objetivo general de desarrollo: mejorar las condiciones de salud de la población de Ourinhos, mediante la ampliación del acceso y la mejora de la calidad de los servicios de salud","Tasa de mortalidad prematura por Enfermedades Crónicas No Transmisibles (ECNT)
Hospitalizaciones por condiciones sensibles a la Atención Primaria de Salud (APS)","/100.000 habitantes
%",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"48","CO-G1013",2020,NA,"CO-G1013 - NA","+IMPACTO 1. Eliminación de la transmisión autóctona de la malaria en la frontera con Panamá (Acandí, Juradó, Riosucio y Unguía), Y la reducción de casos autóctonos de malaria complicada y muertes en los municipios priorizados (Atrato, Bagadó, Buenaventura, Lloró, Medio Atrato, Quibdó, Rio Quito y Tumaco)","P1.01 Casos de malaria de transmisión local en el último año - CHOCÓ
P1.01 Casos de malaria de transmisión local en el último año - PANAMÁ
P1.01 Casos de malaria de transmisión local en el último año - PACÍFICO SUR
P1.02 Casos de malaria complicada - PANAMÁ - CHOCÓ - PACÍFICO SUR
P1.03 Muertes por malaria -PANAMÁ - CHOCÓ - PACÍFICO SUR
no
P1.01 Casos de malaria de transmisión local en el último año - PANAMÁ
P1.01 Casos de malaria de transmisión local en el último año - CHOCÓ
P1.02 Casos de malaria complicada - CHOCÓ
P1.03 Muertes por malaria - PANAMÁ
P1.02 Casos de malaria complicada - PANAMÁ
P1.03 Muertes por malaria - PACÍFICO SUR
P1.02 Casos de malaria complicada - PACÍFICO SUR
P1.01 Casos de malaria de transmisión local en el último año - PACÍFICO SUR
P1.03 Muertes por malaria - CHOCÓ","Número
Número
Número
Número
Número
NA
Número
Número
Número
Número
Número
Número
Número
Número
Número",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"49","CO-G1028",2020,NA,"CO-G1028 - NA","+Contribuir a reducir la morbilidad y la mortalidad por COVID-19 y a mitigar los efectos indirectos de la epidemia","Número de muertes provocadas por COVID-19 en Nariño
Casos de COVID-19 confirmados en Nariño
Número de muertes provocadas por COVID-19 en Putumayo
Casos de COVID-19 confirmados en Putumayo","Número de muertes
Número de casos
Número de muertes
Número de casos",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"50","CO-J0011",2019,NA,"CO-J0011 - NA","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Patrimonio adecuado de EPS deficitarias
Cobertura de afiliación al SGSSS
Tasa de mortalidad prematura por enfermedades crónicas en población entre 30 y hasta 70 años (por cada 100.000 personas entre 30 y 70 años)","Billones de pesos
Porcentaje
Muertes por cada 100.000 habitantes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"51","CO-L1248",2019,"PROGRAM TO ENHANCE SUSTAINABILITY AND INCLUSIVENESS IN THE COLOMBIAN HEALTH CARE SYSTEM","CO-L1248 - PROGRAM TO ENHANCE SUSTAINABILITY AND INCLUSIVENESS IN THE COLOMBIAN HEALTH CARE SYSTEM","+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Patrimonio adecuado de EPS deficitarias
Tasa de mortalidad prematura por enfermedades crónicas en población entre 30 y hasta 70 años (por cada 100.000 personas entre 30 y 70 años)
Cobertura de afiliación al SGSSS","Billones de pesos
Muertes por cada 100.000 habitantes
Porcentaje",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"52","CO-L1252",2018,NA,"CO-L1252 - NA","+Inclusión social y productiva de las personas con discapacidad","Índice multidimensional de inclusión social y productiva de las personas con discapacidad desagregada por género femenino
Índice multidimensional de inclusión social y productiva de las personas con discapacidad desagregada por género masculino","%
%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"53","DR-L1044",2010,NA,"DR-L1044 - NA","+Niños y niñas beneficiarios de Solidaridad con menor probabilidad de ser pobres crónicos en la adultez","Niños(as) de entre 14 y 16 años en hogares Solidaridad que terminaron al menos 6 grados de educación básica
Niños(as) de entre 18 y 60 meses en hogares beneficiarios de Solidaridad con esquema de vacunacion completa
Prevalencia de desnutrición crónica de niños(as) de 0-2 años en hogares beneficiarios de Solidaridad disminuida
Estatura promedia de niños y niñas en los rangos de 36 a 60 meses en hogares beneficiarios de Solidaridad incrementada","Percentaje
Porcentaje
Percentaje
Centímetro",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"54","DR-L1047",2011,NA,"DR-L1047 - NA","+Niños y niñas beneficiarios de Solidaridad tienen menor probabilidad de ser pobres crónicos en la adultez","Prevalencia de desnutrición crónica de niños(as) de 0-2 años en hogares beneficiarios de Solidaridad
Estatura promedio de niños y niñas en los rangos de 36 a 60 meses en hogares beneficiarios de Solidaridad
Niños(as) de entre 18 y 60 meses en hogares beneficiarios de Solidaridad con esquema de vacunación completa
Niños(as) de entre 14 y 16 años en hogares Solidaridad que terminaron al menos seis grados de educación básica","Porcentaje
centímetros
Porcentaje
Porcentaje",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"55","DR-L1053",2011,NA,"DR-L1053 - NA","+Niños y niñas beneficiarios de Solidaridad con menor probabilidad de ser pobres crónicos en la adultez","Estatura promedio de niños y niñas en el rango de 36 a 60 meses en hogares beneficiarios de Solidaridad.
Niños(as) de entre 18 y 60 meses en hogares beneficiarios de Solidaridad con esquema de vacunación completa
Tasa de sobreedad en media de estudiantes en hogares beneficiarios de Solidaridad
Porcentaje de becarios de ILAE entre 18 y 19 años que completaron 12 años de escolaridad","centímetros
Porcentaje
Porcentaje
Porcentaje",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"56","DR-L1059",2011,NA,"DR-L1059 - NA","+Niños y niñas beneficiarios de ?Progresando con Solidaridad? con menor probabilidad de ser pobres crónicos en la adultez.
+Niños y niñas beneficiarios de ¿Progresando con Solidaridad¿ con menor probabilidad de ser pobres crónicos en la adultez.","Niños(as) de entre 18 y 29 meses de hogares beneficiarios de PROSOLI con esquema de vacunación completo.
Estatura promedio de niños y niñas en los rangos de 36 a 60 meses en hogares beneficiarios de Progresando con Solidaridad (PROSOLI)
Niños(as) de entre 18 y 29 meses de hogares beneficiarios de PROSOLI con esquema de vacunación completo.
Estatura promedio de niños y niñas en los rangos de 36 a 60 meses en hogares beneficiarios de Progresando con Solidaridad (PROSOLI)
Sobre-edad en media de estudiantes en hogares beneficiarios de PROSOLI
Becarios de ILAE entre 18 y 19 años que completaron 12 años de escolaridad
Brecha de pobreza
Sobre-edad en media de estudiantes en hogares beneficiarios de PROSOLI
Brecha de pobreza
Becarios de ILAE entre 18 y 19 años que completaron 12 años de escolaridad
Niños(as) de entre 18 y 29 meses de hogares beneficiarios de PROSOLI con esquema de vacunación completo.
Sobre-edad en media de estudiantes en hogares beneficiarios de PROSOLI
Brecha de pobreza
Becarios de ILAE entre 18 y 19 años que completaron 12 años de escolaridad","Porcentaje
CM
Porcentaje
CM
Porcentaje
Porcentaje
Porcentaje
Porcentaje
%
%
%
%
Porcentaje
Porcentaje",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"57","DR-L1067",2013,"Strengthening of the Management for Results of the Sector Health in Dominican Republic","DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Republic","+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida","Mortalidad infantil disminuida en los hospitales en que se implementará el CEMI
Mortalidad materna disminuida en los seis hospitales en los que se implementará el Modelo de Centros de Excelencia CIME Materno Infantil (CEMI)
Población pobre I-II (SIUBEN) no cubierta por ningún régimen con acceso garantizado a los servicios de salud primer nivel a través del FBR, en las cinco regiones de salud del Proyecto","Porcentaje
Porcentaje
Personas",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"58","DR-L1069",2014,"Program to Support Strengthening of Health Sector Management","DR-L1069 - Program to Support Strengthening of Health Sector Management","+Mejorar la cobertura, la calidad y el acceso de los servicios de salud para la población más vulnerable de República Dominicana (RD).","Porcentaje de prestaciones capitadas del Seguro Nacional de Salud (SENASA) pagadas contra resultados.
% de las intervenciones ambulatorias en los SRS que ocurre en el primer nivel de atención.
Porcentaje de consultas de las 10 patologías de mayor prevalencia realizadas en base a protocolos clínicos en el primer nivel de atención.
Cantidad de Población Pobre (SIUBEN I - II) no cubierta por ningún régimen a las que se les garantiza acceso a servicios de primer nivel a través del modelo de Financiamiento Basado en Resultados (FBR), en el Servicio Regional de Salud (SRS) ¿0¿ .","%
%
%
%",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"59","DR-L1152",2021,NA,"DR-L1152 - NA","+Objetivo general de desarrollo: mejorar las condiciones de vida de la población más vulnerable del país","Tasa de empleo de mujeres en hogares ICV I e ICV II con personas con alguna dependencia que
reciben servicios de cuidado","Porcentaje",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"60","EC-J0006",2021,NA,"EC-J0006 - NA","+Reunificación familiar de población infantil y adolescente incrementada (MIES)
+Salud materna mejorada (MSP)
+Exclusión de población infantil y adolescente del sistema escolar reducida (MINEDUC)","Población infantil y adolescente reunificada con su familia
Mortalidad materna por complicaciones durante el parto
Cobertura de educación incial, de sostenimiento fiscal en las provincias priorizadas
Rezago escolar en Educación General Básica, sostenimiento fiscal
Población infantil y adolescente reunificada con su familia
Población en edad escolar que asiste a la escuela desde el 1ro de Educación General Básica.
Rezago escolar en la población escolar de 8 a 18 años.","%
tasa
%
%
%
%
%",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"61","EC-L1076",2014,"Support the Extension of Social Protection and Comprehensive Health Care","EC-L1076 - Support the Extension of Social Protection and Comprehensive Health Care","+Hospitalizaciones evitables por condiciones sensibles de atencion primaria, reducidas.
+Prevalencia de desnutrición entre niños de 1 y 5 años reducida.
+Mortalidad infantil (menos de 1 año) por 1000 nacidos vivos reducida.
+Hospitalizaciones por condiciones respiratorias agudas, reducidas.","Reducción de hospitalizaciones por condiciones respiratorias agudas.
Reducción en la prevalencia de desnutrición de niños entre 1 y 5 años.
Reducción del índice de mortalidad infantil.
Reducción de hospitalizaciones por condiciones respiratorias agudas.
Reducción del índice de mortalidad infantil.
Reducción en la prevalencia de desnutrición de niños entre 1 y 5 años.
Reducción en la prevalencia de desnutrición de niños entre 1 y 5 años.
Reducción del hospitalizaciones evitables por condiciones sensibles de atencion primaria (HECSAP)","% de hospitalizaciones
prevalencia de desnútrición
Indice de Mortalidad Infantil
% de hospitalizaciones
Indice de Mortalidad Infantil
prevalencia de desnútrición
prevalencia de desnútrición
% de hospitalizaciones",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"62","EC-L1107",2014,NA,"EC-L1107 - NA","+Porcentaje de niños menores de 60 meses con desnutrición crónica o retraso en talla reducido en las parroquias priorizadas.
+Cambios en las prácticas nutricionales.
+Prevalencia de enfermedades de los niños menores de 5 años reducida.
+Índice desempeño psicomotor en niños/as menores de 60 meses mejorado en las parroquias priorizadas.
+Cambios en prácticas de crianza de los niños menores de 5 años reportados.","Porcentaje de niños menores de 60 meses con desnutrición crónica o retraso en talla en las parroquias priorizadas.
Porcentaje de aumento en las mujeres que reportan cambios en prácticas nutricionales en las parroquias priorizadas.
Porcentaje de niños menores de 5 años con Enfermedad Diarreica Aguda (EDA) en las parroquias priorizadas.
Indice de desempeño psicomotor en niños/as menores de 60 meses mejorado en las parroquias priorizadas.
Porcentaje de aumento en las mujeres que reportan cambios en prácticas de crianza de los niños menores de 5 años en las parroquias priorizadas.
Porcentaje de niños menores de 5 años con Infecciones Respiratorias Agudas (IRA) en las parroquias priorizadas.","Puntos porcentuales
Puntos porcentuales
Tasa por 10.000
n.d.
Puntos porcentuales
Tasa por 10.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"63","EC-L1129",2015,NA,"EC-L1129 - NA","+Avance en el cierre de brechas en acceso a los servicios sociales priorizados para las familias en condiciones de extrema pobreza.","Porcentaje de servicios sociales priorizados que se han entregado a familias en condiciones de extrema pobreza según su elegibilidad para dichos servicios","Porcentaje",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"64","EC-L1235",2008,NA,"EC-L1235 - NA","+Nivel de desarrollo infantil temprano mejorado","Puntaje Test de Vocabulario en Imágenes Peabody (TVIP) para niños y niñas de 36 - 42 meses de edad usuarios de servicios CDI
Puntaje Test de Vocabulario en Imágenes Peabody (TVIP) para niños y niñas de 36 - 42 meses de edad usuarios de servicios CDI y CNH","Puntaje TVIP estandarizado
Puntaje TVIP estandarizado",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"65","EC-L1236",2018,NA,"EC-L1236 - NA","+Atención oportuna en salud, educación de calidad, cuidado diario y recreación para personas con discapacidad mejorados","Puntaje de síndrome de sobrecarga en cuidadores de personas con discapacidad
Porcentaje de personas con discapacidad escolarizadas, con bachillerato aprobado y acceso a educación superior","Puntaje
%",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"66","EC-L1238",2018,NA,"EC-L1238 - NA","+Prevención de violencia contra niñas, niños, adolescentes y mujeres
+Inclusión social de personas con discapacidad","Casos de presunta violencia atendidos en salud con proceso judicial iniciado
Casos de violación de derechos de niñas, niños y adolescentes (NNA) que cuentan con las medidas de protección emitidas
Adolescentes de 15 a 19 años que usan métodos anticonceptivos modernos
Personas con discapacidad registradas que fueron recalificadas
Estudiantes con discapacidad con sobreedad escolar en unidades educativas especializadas
""Tiempo de respiro"" otorgado a la persona cuidadora de una persona usuaria del BJGL","%
%
%
%
%
DE de horas/ mes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"67","EC-L1250",2018,NA,"EC-L1250 - NA","+Competitividad internacional del país incrementada
+Contribuir a la reducción de la Desnutrición Crónica Infantil (DCI), mediante la entrega de Prestaciones de Salud Priorizadas (PSP) en mujeres embarazadas y niños menores de dos años, realizando acciones intersectoriales con énfasis en la participación ciudadana y la interculturalidad, focalizando intervenciones en parroquias priorizadas del país","Indice de competitividad global
La desnutrición crónica en menores de dos años disminuye en 2 puntos porcentuales","Puntaje
Porcentaje",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"68","EC-L1258",2021,NA,"EC-L1258 - NA","+Reunificación familiar de población infantil y adolescente incrementada (MIES)
+Salud materna mejorada (MSP)
+Exclusión de población infantil y adolescente del sistema escolar reducida (MINEDUC)","Población infantil y adolescente reunificada con su familia
Mortalidad materna por complicaciones durante el parto
Cobertura de educación incial, de sostenimiento fiscal en las provincias priorizadas
Rezago escolar en Educación General Básica, sostenimiento fiscal
Población infantil y adolescente reunificada con su familia
Población en edad escolar que asiste a la escuela desde el 1ro de Educación General Básica.
Rezago escolar en la población escolar de 8 a 18 años.","%
tasa
%
%
%
%
%",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"69","EC-L1270",2022,"Support to the provision of health and social protection services in the context of the pandemic of the coronavirus COVID-19","EC-L1270 - Support to the provision of health and social protection services in the context of the pandemic of the coronavirus COVID-19","+Contribuir a reducir la morbilidad y la mortalidad por COVID-19 y a mitigar los demás efectos indirectos de la pandemia sobre la salud y los niveles mínimos de calidad de vida de las personas vulnerables frente a la crisis causada por el COVID-19","Nivel de consumo de familias vulnerables respecto a nivel de consumo de familias no vulnerables
Número de muertes provocadas por COVID 19","%
Muertes",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"70","EC-L1276",2016,NA,"EC-L1276 - NA","+Contribuir a asegurar niveles mínimos de calidad de vida de las personas vulnerables frente a la crisis económica causada por el COVID-19 y las medidas de mitigación de la crisis sanitaria.","Nivel de consumo de familias vulnerables respecto a nivel de consumo de familias no vulnerables","Porcentaje",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"71","EC-L1277",2020,NA,"EC-L1277 - NA","+Mejorar la calidad de vida de la población, a través de la mejora en la cobertura, focalización y/o calidad de programas sociales prioritarios y de la implementación de medidas para apoyar la recuperación del empleo","Tasa de pobreza (cambio acumulado respecto a diciembre 2019)
Tasa de empleo acumulado","%
%",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"72","EC-U0003",2023,NA,"EC-U0003 - NA","+Objetivo general de desarrollo: Contribuir a reducir la morbilidad y mortalidad por COVID-19","Número de casos de COVID-19 confirmados
Número de muertes provocadas por COVID-19","Número
Número",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"73","ES-L1027",2009,"Integrated Health Program","ES-L1027 - Integrated Health Program","+Mejorar la situación de salud de la población de El Salvador","Razón de mortalidad materna a nivel nacional
Tasa de mortalidad perinatal a nivel nacional
Tasa de mortalidad infantil a nivel nacional
Mortalidad por cáncer cervicouterino diagnosticado en los establecimientos del Minsal","Razón
tasa
tasa
tasa",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"74","ES-L1095",2017,"Integrated Health Program II","ES-L1095 - Integrated Health Program II","+Mejora de la salud de la población a través del fortalecimiento de la provisión de servicios de salud en todos los niveles de atención de la red y mejora de la eficiencia de la gestión de la red pública","3. Tasa de mortalidad infantil en el Departamento de San Salvador
Tasa de mortalidad infantil en el Departamento de San Salvador (DSS)
Tasa de Mortalidad (18-70 años de edad) por hipertensión en el Departamento de San Salvador
Tasa Mortalidad (30 – 69 años de edad) por Cáncer de Cérvix a nivel nacional
2. Tasa de mortalidad por cáncer hematológico en el grupo de edad igual o mayor a 18 años a nivel nacional
Tasa Mortalidad (30 – 69 años de edad) por Enfermedades hipertensivas en el Departamento de San Salvador (DSS)
Tasa de mortalidad por cáncer hematológico en el grupo de 30 a 69 años a nivel nacional","tasa
tasa
tasa
tasa
tasa
tasa
tasa",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"75","ES-L1144",2020,"Immediate Public Health Response to Contain and Control Coronavirus and Mitigate its Effect on Service Delivery in El Salvador","ES-L1144 - Immediate Public Health Response to Contain and Control Coronavirus and Mitigate its Effect on Service Delivery in El Salvador","+Contención y control del Coronavirus y mitigación de su efecto en los servicios de salud","Casos confirmados de COVID-19
Número de muertes por COVID-19","Número de casos confirmados
Número de muertes",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"76","ES-L1159",2023,NA,"ES-L1159 - NA","+incrementar la resiliencia de los hogares afectados por eventos adversos, incluyendo aquellos causados por cambio climático, a través de la creación de un sistema integrado de protección social responsivo a choques, la entrega de TM temporales y el fortalecimiento de la oferta de DIT para dichos hogares.","Indicador 1: Cambio porcentual en incidencia de inseguridad alimentaria en hogares afectados por choques a raiz del programa
Indicador 2: 
Tasa neta de educación inicial
Indicador 3: Error de inclusión en programas de transferencias.","Porcentaje
Porcentaje
Porcentaje",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"77","GU-G1001",2012,NA,"GU-G1001 - NA","+Estado de salud y nutrición de las mujeres en edad reproductiva y los niños menores de cinco años que viven en las regiones más
pobres del país, mejorado.","Prevalencia de anemia en niños de 6-23 meses
Prevalencia de desnutrición crónica en niños menores de 5 años
Mortalidad en menores de cinco años
Mortalidad Infantil
Mortalidad Neonatal
Mortalidad Materna","Porcentaje
Porcentaje
Tasa (x 1,000 nacidos vivos)
Tasa (x 1,000 nacidos vivos)
Tasa (x 1,000 nacidos vivos)
Razon (x 100,000 nacidos vivos)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"78","GU-L1009",2007,"Strengthening Hospital Network Program","GU-L1009 - Strengthening Hospital Network Program","+El acceso y la calidad de los servicios hospitalarios de salud mejorada","Casos de Infecciones Respiratorias Agudas (IRAs) atendidos y tratados en menores de 5 años
Casos de Enfermedades Diarreicas Agudas (EDAs) atendidos y tratados en menores de 5 años
Embarazadas con parto atendido institucionalmente","%
%
%",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"79","GU-L1022",2011,"Improved Access and Quality of Health and Nutrition Services - Phase I","GU-L1022 - Improved Access and Quality of Health and Nutrition Services - Phase I","+El acceso, la utilización y la calidad de los servicios de nutrición y salud del primer y segundo nivel de atención mejorada, en al menos 47 municipios priorizados por el programa de transferencias condicionadas.","Anemia en niños de 6 a 24 meses
Desnutrición crónica en niños de 6 a 24 meses
Anemia en mujeres embarazadas y lactantes","%
%
%",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"80","GU-L1163",2016,"Program to Strengthen the Institutional Healthcare Service Network (PRORISS)","GU-L1163 - Program to Strengthen the Institutional Healthcare Service Network (PRORISS)","+Tasa de Mortalidad Infantil Huehuetenango y San Marcos
+Razón de Mortalidad Materna Huehuetenango y San Marcos","Tasa de Mortalidad Infantil Huehuetenango y San Marcos
Razón de Mortalidad Materna Huehuetenango y San Marcos
Tasa de Mortalidad Infantil Huehuetenango y San Marcos
Razón de Mortalidad Materna Huehuetenango y San Marcos","Niños fallecidos menores de un año por 1.000 nacidos vivos
Mujeres fallecidas cada 100.000 nacidos vivos
tasa
Razón",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"81","GU-L1176",2019,NA,"GU-L1176 - NA","+El objetivo general de este programa es contribuir a apoyar niveles mínimos de consumo de las personas vulnerables frente a la crisis causada por el COVID-19 en Guatemala.","Nivel de ingreso de familias vulnerables (tres quintiles más bajos) respecto a nivel de ingreso de familias no vulnerables (dos quintiles más altos) 12 meses después de inicio de la crisis","%",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"82","GU-L1183",2020,NA,"GU-L1183 - NA","+Mejorar la calidad de vida de la población más vulnerable a través de una mayor calidad del gasto en protección social y en servicios de salud","Porcentaje de beneficiarios del Bono Social en situación de extrema pobreza
Razón de mortalidad materna","Porcentaje
# Mujeres embarazadas fallecidas/100,000 nacidos vivos",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"83","GY-L1058",2014,"Support to Improve Maternal and Child Health","GY-L1058 - Support to Improve Maternal and Child Health","+Contribute to the reduction of maternal, perinatal, and neonatal deaths in Guyana by 2021","Neonatal Mortality Rate
Maternal mortality ratio.","ratio
ratio",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"84","GY-L1077",NA,NA,"GY-L1077 - NA","+The general development objective is to contribute to ensuring minimum levels of quality of life for vulnerable persons amid the crisis caused by COVID-19","NA","NA",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
